,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3106,Single,1,6,Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,5,6,1,0,0,1,0,1,18,0,0,8,8,8,12.32,0,0,8,8,8,12.32,0,9.4,-0.8,-3.12,Graduate
3107,Single,1,1,Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,11,1,0,0,1,0,0,19,0,0,7,7,7,13.79857142857143,0,0,8,8,8,14.75625,0,11.1,0.6,2.02,Graduate
3109,Single,1,1,Management,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,4,10,0,0,0,1,0,1,18,0,0,5,6,5,16.333333333333332,0,0,5,5,5,15.4,0,15.5,2.8,-4.06,Graduate
3110,Single,13,1,Animation and Multimedia Design,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,2,5,1,0,0,1,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout
3111,Single,8,4,Nursing,1,1,1,Higher Education—master’s degree,Higher Education—master’s degree,5,5,1,0,0,1,0,0,19,0,0,7,7,7,14.757142857142856,0,0,8,9,8,15.366666666666667,0,12.4,0.5,1.79,Graduate
3112,Single,8,4,Tourism,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,5,5,1,0,0,1,0,0,19,0,0,6,7,6,11.666666666666666,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Dropout
3114,Single,1,1,Journalism and Communication,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,8,0,0,0,1,0,0,19,0,0,6,6,6,11.666666666666666,0,0,6,6,6,11.5,0,12.7,3.7,-1.7,Graduate
3115,Single,1,1,Social Service,1,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,6,9,0,0,0,1,0,1,19,0,0,6,6,6,15.0,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
3116,Single,1,5,Nursing,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,8,10,1,0,1,0,0,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
3117,Single,1,4,Journalism and Communication,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,8,1,0,0,1,0,0,20,0,0,6,7,6,13.571428571428571,0,0,6,6,6,13.333333333333334,0,13.9,-0.3,0.79,Graduate
3118,Single,8,1,Tourism,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,4,11,0,0,0,1,0,0,20,0,0,6,8,5,10.8,0,0,6,9,4,11.5,0,9.4,-0.8,-3.12,Graduate
3120,Married,1,1,Management (evening attendance),0,2,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,7,4,0,0,0,1,0,0,31,0,4,10,16,5,11.4,0,4,10,10,6,12.833333333333334,0,9.4,-0.8,-3.12,Dropout
3121,Single,1,1,Oral Hygiene,1,1,1,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,8,10,0,0,0,1,0,1,20,0,0,7,14,7,10.642857142857142,0,0,8,8,8,11.55,0,12.7,3.7,-1.7,Graduate
3123,Single,1,1,Nursing,1,1,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,1,0,0,1,0,0,18,0,0,7,7,6,14.65,0,0,7,7,6,14.65,0,7.6,2.6,0.32,Graduate
3124,Single,8,3,Nursing,1,1,1,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,8,8,1,0,0,1,0,1,19,0,0,7,7,7,13.714285714285714,0,0,8,11,8,14.863636363636363,0,16.2,0.3,-0.92,Graduate
3125,Single,14,1,Social Service,1,1,1,2nd cycle of the general high school course,Unknown,1,1,0,0,0,1,0,0,30,0,9,16,19,15,12.266666666666667,0,11,13,14,13,12.071428571428571,0,9.4,-0.8,-3.12,Graduate
3127,Single,9,1,Management,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,6,1,0,0,1,0,0,19,0,0,5,8,5,11.0,0,0,5,6,5,15.4,0,12.4,0.5,1.79,Graduate
3128,Single,1,6,Management,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,5,10,1,0,1,1,0,0,22,0,0,5,5,5,13.8,0,0,5,5,5,13.0,0,7.6,2.6,0.32,Graduate
3129,Single,1,1,Journalism and Communication,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,5,10,0,0,0,1,0,1,18,0,0,6,6,6,12.666666666666666,0,0,6,6,6,12.833333333333334,0,11.1,0.6,2.02,Graduate
3130,Single,8,1,Social Service,1,1,1,Higher Education—degree,Secondary Education—12th Year of Schooling or Equivalent,4,5,1,0,0,1,0,0,18,0,0,6,8,6,11.75,0,0,6,10,5,12.0,0,12.7,3.7,-1.7,Graduate
3131,Single,1,3,Nursing,1,1,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,9,1,0,0,1,0,1,19,0,0,8,8,7,12.785714285714286,0,0,8,8,7,12.785714285714286,0,12.7,3.7,-1.7,Graduate
3132,Single,1,1,Equiniculture,1,1,1,Higher Education—degree,Secondary Education—12th Year of Schooling or Equivalent,3,5,1,0,0,1,0,0,18,0,0,6,11,6,14.444444444444445,0,0,6,6,6,13.333333333333334,0,16.2,0.3,-0.92,Graduate
3135,Single,1,1,Animation and Multimedia Design,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Higher education—degree (1st cycle),5,4,1,0,0,1,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
3136,Single,1,1,Veterinary Nursing,1,1,1,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,10,8,1,0,0,1,0,0,18,0,0,5,8,4,12.75,1,0,5,10,4,11.75,0,12.7,3.7,-1.7,Graduate
3137,Single,12,1,Veterinary Nursing,1,3,1,Higher Education—bachelor’s degree,Higher Education—degree,5,8,1,0,0,1,0,0,25,0,1,6,7,6,16.857142857142858,0,1,6,6,6,16.5,0,13.9,-0.3,0.79,Graduate
3138,Single,1,1,Journalism and Communication,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,4,0,0,0,1,0,0,19,0,0,6,6,6,13.166666666666666,0,0,6,6,6,15.0,0,16.2,0.3,-0.92,Graduate
3140,Single,12,1,Veterinary Nursing,1,1,1,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,10,11,1,0,0,1,0,0,26,0,0,6,7,6,16.5,0,0,6,8,6,14.285714285714286,0,8.9,1.4,3.51,Graduate
3141,Single,8,2,Management,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,6,1,0,0,1,0,0,21,0,0,5,10,4,11.75,0,0,5,6,5,11.6,0,12.4,0.5,1.79,Graduate
3142,Single,1,1,Management,1,1,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,3,10,0,0,0,1,0,0,19,0,0,5,14,1,11.0,0,0,5,6,0,0.0,0,13.9,-0.3,0.79,Dropout
3143,Single,8,1,Nursing,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,1,0,1,19,0,0,8,8,7,15.114285714285714,0,0,8,8,7,15.114285714285714,0,12.7,3.7,-1.7,Graduate
3144,Single,1,1,Social Service,1,1,1,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,9,1,0,0,1,0,1,18,0,0,6,8,6,15.5,0,0,6,7,6,14.285714285714286,0,16.2,0.3,-0.92,Graduate
3145,Married,14,1,Management (evening attendance),0,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,8,0,0,0,1,0,1,32,0,3,10,12,7,11.142857142857142,0,4,10,10,8,12.0,0,10.8,1.4,1.74,Graduate
3146,Single,1,1,Social Service,1,1,1,Higher Education—degree,Secondary Education—12th Year of Schooling or Equivalent,6,6,0,0,0,1,0,1,18,0,0,6,6,6,11.333333333333334,0,0,6,8,6,11.333333333333334,0,15.5,2.8,-4.06,Graduate
3149,Divorced,12,1,Advertising and Marketing Management,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,5,11,0,0,1,1,0,1,39,0,0,5,6,5,10.6,0,0,5,7,4,10.75,0,9.4,-0.8,-3.12,Graduate
3151,Single,1,1,Animation and Multimedia Design,1,1,1,Higher Education—degree,Secondary Education—12th Year of Schooling or Equivalent,5,5,1,0,1,0,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Dropout
3152,Single,8,1,Journalism and Communication,1,1,1,Higher Education—bachelor’s degree,Secondary Education—12th Year of Schooling or Equivalent,15,26,0,0,1,1,0,1,18,0,0,6,6,6,15.666666666666666,0,0,6,6,6,13.833333333333334,0,8.9,1.4,3.51,Graduate
3153,Single,1,1,Animation and Multimedia Design,1,1,1,Higher Education—degree,Higher Education—degree,3,3,1,0,0,1,0,0,21,0,6,12,12,12,15.333333333333334,0,4,11,15,11,15.0,0,8.9,1.4,3.51,Graduate
3156,Single,14,1,Agronomy,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,5,8,1,0,0,1,0,0,21,0,9,14,23,9,12.0,2,6,12,21,8,11.25,0,15.5,2.8,-4.06,Graduate
3157,Single,1,1,Management,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,6,6,1,0,0,1,0,0,22,0,0,5,8,3,10.333333333333334,0,0,5,11,2,10.0,0,7.6,2.6,0.32,Dropout
3160,Single,1,2,Animation and Multimedia Design,1,1,1,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,10,1,0,0,1,1,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
3161,Single,1,1,Tourism,1,1,14,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,10,10,1,0,0,1,0,1,20,1,0,6,7,6,12.857142857142858,0,0,6,8,5,11.8,0,8.9,1.4,3.51,Graduate
3162,Single,1,4,Nursing,1,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,1,0,0,1,0,0,19,0,0,8,8,7,14.328571428571427,0,0,8,8,7,14.328571428571427,0,10.8,1.4,1.74,Graduate
3163,Single,1,1,Social Service,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,6,8,0,0,0,1,0,1,20,0,0,6,7,6,15.0,0,0,6,6,6,16.333333333333332,0,13.9,-0.3,0.79,Graduate
3164,Single,1,1,Veterinary Nursing,1,1,1,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,10,10,1,0,0,1,0,0,19,0,0,5,9,5,13.6,1,0,5,5,5,12.4,0,12.7,3.7,-1.7,Graduate
3165,Single,1,1,Veterinary Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,3,8,1,0,0,1,0,1,18,0,0,5,12,5,12.857142857142858,2,0,5,8,4,13.25,0,9.4,-0.8,-3.12,Graduate
3166,Single,8,2,Basic Education,1,1,1,Higher Education—degree,Secondary Education—12th Year of Schooling or Equivalent,3,4,1,0,0,1,0,0,18,0,0,6,7,2,14.5,0,0,6,6,1,10.0,0,15.5,2.8,-4.06,Dropout
3167,Single,12,1,Management (evening attendance),0,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,9,0,1,0,1,0,0,24,0,0,5,7,3,10.666666666666666,0,0,5,7,3,10.5,0,10.8,1.4,1.74,Dropout
3168,Single,1,1,Tourism,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,5,3,0,0,1,0,0,1,21,0,0,6,7,6,13.428571428571429,0,0,6,8,6,11.333333333333334,0,8.9,1.4,3.51,Dropout
3169,Single,1,3,Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,9,8,1,0,0,1,1,1,18,0,0,7,12,7,11.716666666666663,0,0,8,13,4,10.868,0,15.5,2.8,-4.06,Graduate
3170,Single,8,1,Management,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,5,9,1,0,0,1,1,1,20,0,0,5,11,4,12.0,0,0,5,5,5,12.8,0,11.1,0.6,2.02,Graduate
3171,Single,9,2,Basic Education,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,10,3,1,0,1,0,0,0,20,0,0,6,11,5,13.2,0,0,6,8,4,10.75,0,10.8,1.4,1.74,Dropout
3172,Single,8,3,Tourism,1,1,1,Other—11th Year of Schooling,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,6,8,1,0,1,1,0,0,18,0,0,6,7,5,12.2,0,0,6,10,4,12.25,0,12.4,0.5,1.79,Dropout
3173,Single,12,1,Oral Hygiene,1,1,1,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,7,1,0,0,1,0,1,25,0,0,7,11,5,12.58,0,0,7,9,6,12.157142857142857,0,8.9,1.4,3.51,Graduate
3175,Married,12,1,Biofuel Production Technologies,1,1,1,Supplementary Accounting and Administration,Secondary Education—12th Year of Schooling or Equivalent,10,6,0,0,1,1,1,0,35,0,0,7,9,0,0.0,0,0,7,8,0,0.0,0,11.1,0.6,2.02,Dropout
3176,Single,1,4,Nursing,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,6,1,0,0,1,0,1,19,0,0,7,9,6,12.428571428571429,0,0,8,8,8,14.0,0,13.9,-0.3,0.79,Graduate
3177,Single,1,1,Advertising and Marketing Management,1,1,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,1,0,0,1,1,1,18,0,0,6,6,6,13.0,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Dropout
3178,Single,1,1,Nursing,1,1,1,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,4,11,0,0,0,1,1,0,19,0,0,8,8,7,14.535714285714286,0,0,8,8,7,14.535714285714286,0,10.8,1.4,1.74,Graduate
3180,Single,8,1,Communication Design,1,1,1,Higher Education—degree,Higher Education—degree,4,4,0,0,0,1,1,0,18,0,0,6,6,6,16.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
3181,Single,12,1,Equiniculture,1,12,1,General commerce course,Higher Education—degree,10,3,1,0,1,1,1,0,24,0,0,6,13,5,13.142857142857142,0,0,6,15,3,12.666666666666666,0,16.2,0.3,-0.92,Dropout
3182,Single,14,1,Social Service (evening attendance),0,1,3,2nd cycle of the general high school course,Unknown,1,1,1,0,0,1,1,0,25,1,8,14,23,11,11.6875,0,6,10,20,8,11.142857142857142,0,9.4,-0.8,-3.12,Graduate
3184,Single,1,1,Veterinary Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,6,10,0,0,0,1,1,1,19,0,0,6,9,6,13.833333333333334,0,0,6,12,5,13.666666666666666,0,11.1,0.6,2.02,Graduate
3185,Single,8,2,Informatics Engineering,1,1,1,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,10,8,0,0,0,1,1,0,19,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
3186,Single,12,1,Equiniculture,1,8,1,Other—11th Year of Schooling,Can read without having a 4th year of schooling,12,12,0,0,0,0,1,1,30,0,0,5,13,0,0.0,3,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
3187,Single,1,1,Nursing,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,6,1,0,0,1,1,0,19,0,0,7,9,0,0.0,0,0,7,8,0,0.0,0,15.5,2.8,-4.06,Dropout
3188,Single,8,1,Management,1,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,5,5,1,0,0,1,1,0,21,0,0,5,10,1,10.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
3189,Single,1,1,Animation and Multimedia Design,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,4,6,0,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
3190,Single,12,1,Agronomy,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,6,0,0,0,0,1,0,29,0,0,6,9,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
3191,Single,1,1,Advertising and Marketing Management,1,1,1,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,1,1,0,18,0,0,6,7,4,12.6,0,0,6,6,4,13.0,0,12.4,0.5,1.79,Dropout
3193,Single,13,1,Communication Design,1,1,1,Higher Education—degree,Higher Education—bachelor’s degree,4,2,0,0,0,1,1,0,20,0,6,7,13,7,12.375,0,4,7,8,4,11.25,0,13.9,-0.3,0.79,Dropout
3195,Single,8,2,Journalism and Communication,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,3,6,1,0,0,0,1,0,18,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
3197,Single,1,6,Management,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,2,7,1,0,0,1,1,0,19,0,0,5,6,5,12.6,0,0,5,8,3,12.666666666666666,0,8.9,1.4,3.51,Graduate
3198,Single,4,1,Tourism,1,3,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,4,4,0,0,0,1,1,0,35,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
3199,Single,1,1,Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,10,10,1,0,0,1,1,0,20,0,0,8,8,7,12.84142857142857,0,0,8,8,7,12.84142857142857,0,10.8,1.4,1.74,Graduate
3200,Married,12,1,Social Service,1,16,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,9,9,0,0,0,1,1,0,33,0,0,6,6,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout
3201,Single,1,1,Journalism and Communication,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,5,2,1,0,0,1,1,0,18,0,0,6,7,6,14.166666666666666,0,0,6,6,6,12.833333333333334,0,9.4,-0.8,-3.12,Graduate
3203,Single,8,1,Journalism and Communication,1,1,1,Higher Education—degree,Higher Education—degree,3,4,1,0,0,1,1,0,19,0,0,6,12,4,10.8,0,0,6,14,3,11.0,0,13.9,-0.3,0.79,Dropout
3204,Single,8,5,Journalism and Communication,1,1,1,Supplementary Accounting and Administration,Secondary Education—12th Year of Schooling or Equivalent,5,5,1,0,0,1,1,0,18,0,0,6,6,6,13.0,0,0,6,12,0,0.0,0,7.6,2.6,0.32,Dropout
3205,Single,12,1,Management (evening attendance),0,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,8,10,0,0,0,0,1,0,28,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout
3206,Single,1,1,Management,1,1,1,Higher Education—doctorate,Secondary Education—12th Year of Schooling or Equivalent,2,6,0,0,0,1,1,0,18,0,0,5,5,5,13.0,0,0,5,6,5,13.333333333333334,0,16.2,0.3,-0.92,Graduate
3207,Single,1,1,Journalism and Communication,1,1,1,Higher Education—bachelor’s degree,Higher Education—degree,4,4,1,0,1,1,1,0,25,0,0,6,8,6,11.571428571428571,0,0,6,9,6,11.571428571428571,0,15.5,2.8,-4.06,Dropout
3208,Single,1,1,Social Service,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,5,7,0,1,1,0,1,0,19,0,0,6,6,4,11.5,0,0,6,6,5,11.0,0,8.9,1.4,3.51,Dropout
3209,Single,9,2,Communication Design,1,1,1,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,6,6,0,0,0,1,1,0,18,0,0,6,8,5,11.0,0,0,6,6,4,10.75,0,9.4,-0.8,-3.12,Graduate
3210,Single,4,1,Agronomy,1,3,1,Higher Education—degree,Higher Education—degree,7,3,1,0,0,1,1,0,29,0,1,6,10,6,17.11111111111111,0,2,6,9,6,15.571428571428571,0,13.9,-0.3,0.79,Graduate
3212,Single,1,1,Tourism,1,1,1,Higher Education—degree,Higher Education—bachelor’s degree,5,6,0,0,0,1,1,1,20,0,0,6,9,6,12.571428571428571,0,0,6,6,6,12.166666666666666,0,8.9,1.4,3.51,Graduate
3213,Single,15,1,Agronomy,1,14,1,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,3,7,0,0,0,1,1,0,20,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout
3214,Single,1,4,Communication Design,1,1,1,Higher Education—degree,Higher Education—degree,3,3,1,0,0,1,1,0,18,0,0,6,7,6,14.5,0,0,6,6,6,15.166666666666666,0,9.4,-0.8,-3.12,Graduate
3215,Single,1,6,Tourism,1,1,1,Higher Education—degree,Secondary Education—12th Year of Schooling or Equivalent,3,3,1,0,0,1,1,1,21,0,0,6,6,6,13.5,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
3216,Single,8,2,Tourism,1,1,1,Higher Education—degree,Higher Education—degree,3,3,0,0,0,0,1,0,18,0,0,6,9,5,11.2,0,0,6,14,2,10.0,0,9.4,-0.8,-3.12,Dropout
3217,Single,1,5,Informatics Engineering,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,12,12,1,0,0,1,1,0,20,0,0,5,10,3,10.666666666666666,0,0,5,5,4,12.25,0,7.6,2.6,0.32,Graduate
3219,Single,12,1,Management (evening attendance),0,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,10,9,0,0,0,1,0,0,26,0,0,1,2,0,0.0,0,0,5,8,0,0.0,0,16.2,0.3,-0.92,Dropout
3220,Single,8,3,Advertising and Marketing Management,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,9,9,0,0,1,1,0,0,19,0,0,5,5,1,10.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
3221,Single,12,1,Oral Hygiene,1,1,1,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,1,0,1,0,0,1,24,0,0,7,14,5,12.36,0,1,8,15,5,12.0,0,8.9,1.4,3.51,Dropout
3222,Single,1,1,Advertising and Marketing Management,1,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,8,1,0,0,1,0,1,20,0,0,6,8,6,15.25,0,0,6,7,6,14.714285714285714,0,11.1,0.6,2.02,Graduate
3223,Single,8,1,Management (evening attendance),0,1,1,Supplementary Accounting and Administration,Higher Education—degree,10,4,1,0,1,0,0,0,26,0,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
3224,Single,12,1,Management,1,9,1,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,8,10,0,0,0,1,0,0,31,0,0,5,8,1,13.0,2,0,5,9,4,12.25,0,10.8,1.4,1.74,Dropout
3225,Married,14,1,Nursing,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,11,1,0,0,1,0,0,27,0,0,8,8,8,13.81375,0,0,8,8,8,13.81375,0,9.4,-0.8,-3.12,Graduate
3226,Single,1,1,Veterinary Nursing,1,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,0,0,1,1,0,0,24,0,0,6,8,6,13.285714285714286,0,0,6,13,6,12.875,0,11.1,0.6,2.02,Graduate
3228,Single,1,2,Nursing,1,1,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,9,1,0,0,1,0,1,20,0,0,7,8,7,11.9625,0,0,8,9,8,13.044444444444444,0,13.9,-0.3,0.79,Graduate
3229,Single,1,6,Nursing,1,1,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,6,6,1,0,0,1,0,0,20,0,0,7,9,6,13.683333333333332,0,0,8,11,6,13.116666666666667,0,11.1,0.6,2.02,Graduate
3230,Single,12,1,Nursing,1,1,1,Supplementary Accounting and Administration,Secondary Education—12th Year of Schooling or Equivalent,10,5,1,0,0,1,0,0,24,0,0,8,8,7,14.985714285714286,0,0,8,8,7,14.985714285714286,0,12.7,3.7,-1.7,Graduate
3232,Single,1,2,Journalism and Communication,1,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,4,10,1,0,0,1,0,0,18,0,0,6,8,4,12.5,0,0,6,6,5,12.6,0,12.7,3.7,-1.7,Graduate
3233,Single,8,3,Veterinary Nursing,1,1,1,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,0,0,0,1,0,0,20,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
3234,Single,1,2,Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,5,4,1,0,0,1,0,0,18,0,0,7,10,7,13.78,0,0,8,10,8,13.661,0,15.5,2.8,-4.06,Graduate
3235,Single,1,2,Nursing,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,8,1,0,0,1,0,0,19,0,0,7,10,7,13.805,0,0,8,8,8,14.2725,0,15.5,2.8,-4.06,Graduate
3236,Single,8,1,Veterinary Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,10,1,0,0,1,0,0,18,0,0,5,7,5,13.8,0,0,5,5,5,12.6,0,10.8,1.4,1.74,Graduate
